model,feature_set,n_features,train_time_s,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc
logreg,handcrafted,50,2.6,0.8975,0.8826,0.9168,0.8994,0.9488
random_forest,handcrafted,50,1.3,0.9777,0.9822,0.973,0.9776,0.9975
xgboost,handcrafted,50,0.6,0.9813,0.9779,0.9848,0.9813,0.9983
logreg,tfidf_word,10000,0.2,0.9801,0.9723,0.9883,0.9802,0.9982
random_forest,tfidf_word,10000,20.3,0.9836,0.987,0.9801,0.9835,0.9983
xgboost,tfidf_word,10000,37.2,0.9836,0.9847,0.9824,0.9836,0.9987
logreg,tfidf_char,10000,3.3,0.9766,0.9646,0.9894,0.9769,0.9978
random_forest,tfidf_char,10000,11.4,0.9789,0.9733,0.9848,0.979,0.9979
xgboost,tfidf_char,10000,90.7,0.9854,0.9803,0.9906,0.9854,0.999
logreg,hc_plus_word,10050,8.6,0.9619,0.9447,0.9812,0.9626,0.991
random_forest,hc_plus_word,10050,13.4,0.9877,0.9894,0.9859,0.9877,0.9993
xgboost,hc_plus_word,10050,43.6,0.9941,0.9965,0.9918,0.9941,0.9997
logreg,hc_plus_char,10050,42.9,0.9649,0.948,0.9836,0.9655,0.9929
random_forest,hc_plus_char,10050,13.5,0.9906,0.9872,0.9941,0.9907,0.9992
xgboost,hc_plus_char,10050,101.9,0.9924,0.993,0.9918,0.9924,0.9997
logreg,hc_plus_word_char,20050,47.3,0.9742,0.9633,0.9859,0.9745,0.9971
random_forest,hc_plus_word_char,20050,18.3,0.9889,0.9883,0.9894,0.9889,0.9993
xgboost,hc_plus_word_char,20050,151.3,0.9941,0.9953,0.993,0.9941,0.9998
