length_bin,scenario_family,test,train,val
long,advance_fee_scam_email,168,1260,253
long,financial_qa,61,418,89
long,fraud_sms_deceptive,10,76,16
long,legitimate_email,44,329,66
long,legitimate_sms,1,10,2
long,phishing_email,48,361,72
medium,advance_fee_scam_email,551,1129,225
medium,financial_qa,81,646,121
medium,fraud_sms_deceptive,266,959,190
medium,legitimate_email,309,1018,203
medium,legitimate_sms,29,209,41
medium,phishing_email,700,2290,458
short,advance_fee_scam_email,1,11,2
short,financial_qa,22,134,28
short,fraud_sms_deceptive,109,243,48
short,legitimate_email,547,1653,331
short,legitimate_sms,326,959,191
short,phishing_email,602,1849,370
