scenario_family,split,0,1
advance_fee_scam_email,test,160,560
advance_fee_scam_email,train,1200,1200
advance_fee_scam_email,val,240,240
financial_qa,test,82,82
financial_qa,train,599,599
financial_qa,val,119,119
fraud_sms_deceptive,test,86,299
fraud_sms_deceptive,train,639,639
fraud_sms_deceptive,val,127,127
legitimate_email,test,200,700
legitimate_email,train,1500,1500
legitimate_email,val,300,300
legitimate_sms,test,80,276
legitimate_sms,train,589,589
legitimate_sms,val,117,117
phishing_email,test,300,1050
phishing_email,train,2250,2250
phishing_email,val,450,450
