feature,p_mannwhitney,cohen_d_human_minus_llm,n0,n1,p_bonferroni
hc_pos_adv_ratio,0.0,-0.5212994536126865,6777,6777,0.0
hc_punct_dash_ratio,0.0,0.39196753300038495,6777,6777,0.0
hc_avg_sentence_len_words,0.0,0.3763787102126349,6777,6777,0.0
hc_avg_sentence_len_chars,0.0,0.3655369605390159,6777,6777,0.0
hc_punct_colon_ratio,0.0,0.5516091086764243,6777,6777,0.0
coleman_liau_index,0.0,0.3917337397707875,6773,6777,0.0
smog_index,0.0,0.5191930690814571,6773,6777,0.0
flesch_kincaid_grade,0.0,0.41735503246627254,6773,6777,0.0
hc_pos_verb_ratio,0.0,-0.9142772917363593,6777,6777,0.0
hc_std_sentence_len,0.0,0.5109356784247681,6777,6777,0.0
char_entropy,0.0,0.5486531245240996,6777,6777,0.0
hc_pos_pron_ratio,0.0,-0.7387442412295276,6777,6777,0.0
hc_pos_num_ratio,0.0,0.5231513679059885,6777,6777,0.0
punct_ratio,0.0,0.6368575734538352,6777,6777,0.0
hc_pos_noun_ratio,0.0,0.8296972160135355,6777,6777,0.0
digit_ratio,0.0,0.5265218194638234,6777,6777,0.0
hc_pos_aux_ratio,0.0,-0.697747678637854,6777,6777,0.0
hc_stopword_ratio,0.0,-0.8144189944425544,6777,6777,0.0
hc_punct_paren_ratio,0.0,0.6251396023592849,6777,6777,0.0
hc_digit_ratio,0.0,0.5265218194638234,6777,6777,0.0
hc_punct_period_ratio,8.880536704289841e-278,-0.15019377978600068,6777,6777,7.370845464560568e-276
lm_mean_nll,1.6214214170530907e-248,0.4631329868649271,6777,6777,1.3457797761540652e-246
flesch_reading_ease,1.0032526352622799e-212,-0.4052342981893273,6773,6777,8.326996872676923e-211
hc_punct_dquote_ratio,1.1991801772594819e-195,0.28423047379145155,6777,6777,9.953195471253699e-194
hc_fw_do,1.0628970045538329e-155,-0.40631227471866727,6777,6777,8.822045137796813e-154
hc_avg_word_len,2.3687615993260873e-142,0.08242235568216102,6777,6777,1.9660721274406526e-140
hc_fw_would,4.440960103985009e-140,0.24903660457346372,6777,6777,3.685996886307557e-138
space_ratio,2.383062750231794e-131,-0.2305424552505531,6777,6777,1.9779420826923887e-129
