slice_a,slice_b,feature,median_a,median_b,p_mannwhitney,n_a,n_b
test_seen,test_claude_holdout,char_len,541.5,652.0,0.46452788117216415,908,2059.0
test_seen,test_claude_holdout,tiktoken_len,113.5,122.0,0.0030607654920245244,908,2059.0
test_seen,test_claude_holdout,ttr,0.6653333333333333,0.744,7.779732401578302e-39,908,2059.0
test_seen,test_claude_holdout,char_entropy,4.227915876794047,4.306405374105465,1.8028119027334508e-88,908,2059.0
test_seen,test_claude_holdout,lm_mean_nll,3.740877628326416,4.773796558380127,1.1194924941483834e-156,908,2059.0
generator_lane,seen_openai,char_len,482.0,,,4933,
generator_lane,seen_openai,tiktoken_len,99.0,,,4933,
generator_lane,seen_openai,ttr,0.7087378640776699,,,4933,
generator_lane,seen_openai,char_entropy,4.23086148881892,,,4933,
generator_lane,seen_openai,lm_mean_nll,3.7293953895568848,,,4933,
generator_lane,seen_mistral,char_len,569.0,,,3305,
generator_lane,seen_mistral,tiktoken_len,126.0,,,3305,
generator_lane,seen_mistral,ttr,0.636986301369863,,,3305,
generator_lane,seen_mistral,char_entropy,4.234421835096375,,,3305,
generator_lane,seen_mistral,lm_mean_nll,3.9286766052246094,,,3305,
generator_lane,holdout_claude,char_len,652.0,,,2059,
generator_lane,holdout_claude,tiktoken_len,122.0,,,2059,
generator_lane,holdout_claude,ttr,0.744,,,2059,
generator_lane,holdout_claude,char_entropy,4.306405374105465,,,2059,
generator_lane,holdout_claude,lm_mean_nll,4.773796558380127,,,2059,
