feature,p_mw,cohen_d_human_minus_llm,n0,n1,p_bonf
hc60_smog_index,0.0,0.5016844876320584,6777,6777,0.0
hc60_dash_ratio,0.0,0.38177570033663255,6777,6777,0.0
hc60_colon_ratio,0.0,0.5317914110883917,6777,6777,0.0
hc60_numeral_token_ratio,0.0,0.27089436121777655,6777,6777,0.0
hc60_flesch_kincaid_grade,0.0,0.26669869263810303,6777,6777,0.0
hc60_digit_ratio,0.0,0.5092080683286119,6777,6777,0.0
hc60_chars_per_word,0.0,0.1709348230199736,6777,6777,0.0
hc60_coleman_liau_index,0.0,0.14334066611824176,6777,6777,0.0
hc60_adverb_like_ratio,0.0,-0.5436435151836001,6777,6777,0.0
hc60_lexical_burstiness,0.0,0.7792214526393814,6777,6777,0.0
hc60_modal_ratio,0.0,-0.5987400902427663,6777,6777,0.0
hc60_std_sentence_len_words,0.0,0.5572819157017224,6777,6777,0.0
hc60_stopword_ratio,0.0,-0.6741105319338134,6777,6777,0.0
hc60_pronoun_ratio,1.1835752283257e-310,-0.5518118613925194,6777,6777,7.10145136995431e-309
hc60_automated_readability_index,1.1013608983049568e-284,0.18995429182769707,6777,6777,6.608165389829741e-283
hc60_period_ratio,8.880536704289841e-278,-0.1497830398574884,6777,6777,5.328322022573905e-276
hc60_punctuation_ratio,7.727352774864549e-253,0.576747978266596,6777,6777,4.636411664918729e-251
hc60_non_alnum_symbol_ratio,7.727352774864549e-253,0.576747978266596,6777,6777,4.636411664918729e-251
hc60_flesch_reading_ease,4.619684090112506e-213,-0.1822098268652552,6777,6777,2.771810454067504e-211
hc60_conjunction_ratio,6.077085117700956e-208,-0.44581805735162233,6777,6777,3.646251070620574e-206
hc60_verb_like_ratio,8.835350405986635e-179,-0.3245019655650056,6777,6777,5.301210243591981e-177
hc60_avg_sentence_len_words,3.855079216198559e-150,0.2020141461381144,6777,6777,2.3130475297191355e-148
hc60_whitespace_ratio,2.383062750231794e-131,-0.2290425682685927,6777,6777,1.4298376501390762e-129
hc60_char_entropy,3.728876103076068e-123,0.41159869758290996,6777,6777,2.237325661845641e-121
hc60_avg_token_length_chars,1.3638122422476143e-119,0.07529252043062737,6777,6777,8.182873453485686e-118
hc60_avg_word_len_chars,1.3638122422476143e-119,0.07529252043062737,6777,6777,8.182873453485686e-118
hc60_std_word_len_chars,3.5454893078430303e-118,0.35063316672909794,6777,6777,2.127293584705818e-116
hc60_long_word_ratio,2.3772648378285287e-94,0.3284794023706298,6777,6777,1.4263589026971172e-92
hc60_discourse_marker_ratio,4.173398837767963e-93,0.18823989090954008,6777,6777,2.5040393026607777e-91
hc60_semicolon_ratio,2.949604359473073e-73,0.2266860046155624,6777,6777,1.7697626156838437e-71
hc60_auxiliary_ratio,1.2039525293900704e-69,-0.23697018974366874,6777,6777,7.223715176340422e-68
hc60_adjective_like_ratio,2.2805490804998332e-69,-0.1805473554571001,6777,6777,1.3683294482999e-67
hc60_comma_ratio,5.050018925228488e-56,0.32258804183300605,6777,6777,3.030011355137093e-54
hc60_paren_ratio,8.717828429134667e-53,0.26691173499820503,6777,6777,5.2306970574807997e-51
hc60_dislegomena_ratio,4.767851830952346e-48,0.29083946641039876,6777,6777,2.860711098571408e-46
hc60_char_len,1.585089453456777e-44,0.32929488649781563,6777,6777,9.510536720740663e-43
hc60_article_ratio,9.498711570231656e-39,0.12937099945224217,6777,6777,5.699226942138994e-37
hc60_negation_ratio,6.552610749241007e-37,-0.17600058980995592,6777,6777,3.931566449544604e-35
hc60_det_like_ratio,1.278860435859404e-36,-0.16225352914263877,6777,6777,7.673162615156425e-35
hc60_uppercase_ratio,7.082768264038797e-36,0.23278625446632556,6777,6777,4.249660958423278e-34
hc60_top_token_share,1.2322857907983722e-34,-0.06191071073857217,6777,6777,7.393714744790233e-33
hc60_imperative_like_ratio,4.322354762423581e-26,-0.20497507360073217,6777,6777,2.5934128574541484e-24
hc60_entropy_token_unigram,2.7679373932084582e-24,0.14945936568198592,6777,6777,1.660762435925075e-22
hc60_hapax_ratio,2.4675329505454746e-23,-0.1906418230390508,6777,6777,1.4805197703272848e-21
hc60_repetition_rate,3.261111580121443e-23,0.19004417885960803,6777,6777,1.956666948072866e-21
hc60_short_word_ratio,3.6701626115934544e-23,-0.17747082752785426,6777,6777,2.2020975669560726e-21
hc60_exclamation_ratio,8.451453246323161e-22,-0.1463189952787235,6777,6777,5.0708719477938965e-20
hc60_quote_ratio,9.15022329590406e-22,-0.15803843417051666,6777,6777,5.490133977542436e-20
hc60_root_ttr,3.123781215706373e-20,-0.16955142136186024,6777,6777,1.874268729423824e-18
hc60_corrected_ttr,4.2439818281345526e-18,-0.150789776946548,6777,6777,2.5463890968807314e-16
hc60_preposition_ratio,1.9886334575285718e-17,0.011300123113551289,6777,6777,1.1931800745171432e-15
hc60_alnum_ratio,5.2847256304684675e-17,-0.37297353055438603,6777,6777,3.1708353782810805e-15
hc60_ttr,6.872211056717177e-17,-0.15174041261532412,6777,6777,4.123326634030307e-15
hc60_word_count,1.3934672732462122e-16,0.23642215491817978,6777,6777,8.360803639477273e-15
hc60_noun_like_ratio,1.5648114417351977e-14,-0.1282852672805585,6777,6777,9.388868650411187e-13
hc60_question_word_ratio,3.902765818554057e-14,0.01688491195289678,6777,6777,2.341659491132434e-12
hc60_sentence_opener_repeat_rate,6.4743007608099955e-09,-0.13875745971024886,6777,6777,3.8845804564859973e-07
hc60_question_ratio,3.655328035864398e-05,-0.07023098325497391,6777,6777,0.002193196821518639
hc60_sentence_count,0.2831091272907824,0.07618851509363739,6777,6777,1.0
hc60_yule_k,0.5967185351930339,0.12008706106447882,6777,6777,1.0
