scenario_family,core_eval_slice,0,1
advance_fee_scam_email,test_claude_binary,400,400
advance_fee_scam_email,test_claude_holdout,0,400
advance_fee_scam_email,test_seen,160,160
advance_fee_scam_email,train,1200,1200
advance_fee_scam_email,val,240,240
financial_qa,test_seen,82,82
financial_qa,train,599,599
financial_qa,val,119,119
fraud_sms_deceptive,test_claude_holdout,0,213
fraud_sms_deceptive,test_seen,86,86
fraud_sms_deceptive,train,639,639
fraud_sms_deceptive,val,127,127
legitimate_email,test_claude_binary,500,500
legitimate_email,test_claude_holdout,0,500
legitimate_email,test_seen,200,200
legitimate_email,train,1500,1500
legitimate_email,val,300,300
legitimate_sms,test_claude_binary,196,196
legitimate_sms,test_claude_holdout,0,196
legitimate_sms,test_seen,80,80
legitimate_sms,train,589,589
legitimate_sms,val,117,117
phishing_email,test_claude_binary,750,750
phishing_email,test_claude_holdout,0,750
phishing_email,test_seen,300,300
phishing_email,train,2250,2250
phishing_email,val,450,450
